Model,Accuracy_Orig,Accuracy_Pert,Accuracy_Diff,F1_Orig,F1_Pert,F1_Diff,AUC_Orig,AUC_Pert,AUC_Diff
Logistic Regression,0.9925862273861652,0.9924033969887833,-0.00018283039738187234,0.9086608852348237,0.9066187212046298,-0.0020421640301938604,0.9957505989344878,0.9958409280178218,9.032908333395095e-05
Decision Tree,0.9991864047316507,0.9989030176157088,-0.00028338711594189103,0.9891051536295752,0.9853658536585366,-0.003739299971038612,0.9950903526275581,0.9950903677947983,1.5167240241531488e-08
Random Forest,0.7630975125924436,0.9724931667138978,0.20939565412145422,0.16909807945108854,0.7226983688139341,0.5536002893628456,0.7991430721536564,0.9957734816333512,0.1966304094796948
GBTClassifier,0.9991681216919125,0.999021857374007,-0.00014626431790554228,0.9888630522579855,0.986930499572493,-0.001932552685492528,0.9980645831268352,0.9980069966153114,-5.758651152376615e-05
